업종,주소,주선인,성공여부,대분류
특수 목적용 기계 제조업,경기도 화성시 향남읍 발안로 702-66,한국투자증권㈜,심사철회,제조업4
특수 목적용 기계 제조업,경기도 화성시 향남읍 발안로 702-66,한국투자증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,경기도 화성시 향남읍 발안공단로4길 118,미래에셋증권 주식회사,심사승인,제조업4
일반 목적용 기계 제조업,경기도 화성시 팔탄면 서해로 1155,신영증권㈜,심사승인,제조업2
일반 목적용 기계 제조업,경기도 화성시 정남면 정남산단로 38,미래에셋증권 주식회사,심사승인,제조업2
특수 목적용 기계 제조업,경기도 화성시 정남면 정남동로 33-11,케이프투자증권주식회사,심사철회,제조업4
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",경기도 화성시 정남면 구내길 81-9,"유진투자증권㈜,신한투자증권 주식회사",심사승인,제조업4
전자부품 제조업,경기도 화성시 정남면 구내길 81-9,"신한투자증권 주식회사,유진투자증권㈜",심사승인,제조업2
특수 목적용 기계 제조업,경기도 화성시 정남면 가장로 355-50,삼성증권㈜,심사승인,제조업4
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",경기도 화성시 양감면 초록로 868-12,"한국투자증권㈜,KB증권㈜",심사승인,제조업4
반도체 제조업,경기도 화성시 삼성1로5길 46,대신증권㈜,심사중,제조업1
기타 화학제품 제조업,경기도 화성시 삼성1로5길 39,엔에이치투자증권주식회사,심사승인,제조업3
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",경기도 화성시 삼성1로5길 36,엔에이치투자증권주식회사,심사승인,제조업4
소프트웨어 개발 및 공급업,경기도 화성시 삼성1로4길 7-4,대신증권㈜,심사승인,정보통신업
의료용품 및 기타 의약 관련제품 제조업,경기도 화성시 삼성1로4길 22,"엔에이치투자증권주식회사,한국투자증권㈜",심사승인,제조업3
전자부품 제조업,경기도 화성시 삼성1로2길 60,KB증권㈜,심사철회,제조업2
의료용 기기 제조업,경기도 화성시 삼성1로1길 14,대신증권㈜,심사승인,제조업3
의료용 기기 제조업,경기도 화성시 삼성1로 332-7,한국투자증권㈜,심사승인,제조업3
전자부품 제조업,경기도 화성시 반월길 50-8,IBK투자증권㈜,심사승인,제조업2
"그외 기타 전문, 과학 및 기술 서비스업",경기도 화성시 동탄역로 24-2,KB증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
특수 목적용 기계 제조업,경기도 화성시 동탄면 장지리 164-5,케이프투자증권주식회사,심사승인,제조업4
전자부품 제조업,경기도 화성시 동탄면 동탄산단9길 11,하나증권주식회사,심사승인,제조업2
특수 목적용 기계 제조업,경기도 화성시 동탄면 동탄산단6길 15-23,키움증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,경기도 화성시 동탄면 동탄산단10길 53-15,키움증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,경기도 화성시 동탄면 동탄산단10길 52,키움증권㈜,심사승인,제조업4
통신 및 방송 장비 제조업,경기도 화성시 동탄면 금곡로 185-44,한국투자증권㈜,심사승인,제조업2
자동차 차체 및 트레일러 제조업,경기도 화성시 남양읍 현대기아로 679-24,엔에이치투자증권주식회사,심사승인,제조업4
자동차 차체 및 트레일러 제조업,경기도 화성시 남양읍 현대기아로 679-24,엔에이치투자증권주식회사,심사승인,제조업4
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",경기도 화성시 금곡로163번길 63-100,엔에이치투자증권주식회사,심사승인,제조업4
기타 섬유제품 제조업,경기도 포천시 화현면 봉화로 979,"하이투자증권㈜,IBK투자증권㈜",심사철회,제조업1
반도체 제조업,경기도 평택시 청북읍 현곡산단로93번길 81,KB증권㈜,심사승인,제조업1
전자부품 제조업,경기도 평택시 청북읍 현곡산단로93번길 6,대신증권㈜,심사승인,제조업2
특수 목적용 기계 제조업,경기도 평택시 청북면 오금길 14-39,키움증권㈜,심사승인,제조업4
의료용 기기 제조업,"경기도 평택시 진위면 하북2길 174 (진위면, 주식회사엠아이텍)",하나증권주식회사,심사승인,제조업3
특수 목적용 기계 제조업,경기도 평택시 진위면 진위산단로 53-86,삼성증권㈜,심사승인,제조업4
전자부품 제조업,경기도 평택시 진위면 진위산단로 38,미래에셋증권 주식회사,심사승인,제조업2
특수 목적용 기계 제조업,경기도 평택시 진위면 진위2산단로 31-10,신영증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,경기도 평택시 진위면 진위2산단로 15-24,신한투자증권 주식회사,심사중,제조업4
특수 목적용 기계 제조업,경기도 평택시 진위면 삼남로 654,엔에이치투자증권주식회사,심사승인,제조업4
의료용 기기 제조업,경기도 평택시 진위면 동부대로 291-13,한국투자증권㈜,심사승인,제조업3
특수 목적용 기계 제조업,경기도 평택시 서탄면 서탄2로 206-24,한국투자증권㈜,심사철회,제조업4
기초 화학물질 제조업,경기도 평택시 산단로52번길 68,KB증권㈜,심사승인,제조업3
"그외 기타 전문, 과학 및 기술 서비스업",경기도 평택시 산단로 16번길 72,키움증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
기타 화학제품 제조업,경기도 평택시 산단로 103-14,한국투자증권㈜,심사승인,제조업3
"영화, 비디오물, 방송프로그램 제작 및 배급업",경기도 파주시 회동길 78,엔에이치투자증권주식회사,심사승인,정보통신업
특수 목적용 기계 제조업,경기도 파주시 탄현면 한산로 69,한국투자증권㈜,심사승인,제조업4
전자부품 제조업,경기도 파주시 월롱면 엘지로 274-43,미래에셋증권 주식회사,심사승인,제조업2
의료용 기기 제조업,경기도 파주시 신촌2로 11,한국투자증권㈜,심사승인,제조업3
의료용 기기 제조업,경기도 파주시 상지석길 21,키움증권㈜,심사승인,제조업3
소프트웨어 개발 및 공급업,경기도 파주시 문발로 220,하나증권주식회사,심사철회,정보통신업
일차전지 및 축전지 제조업,경기도 이천시 호법면 덕평로 554-30,한국투자증권㈜,심사승인,제조업1
반도체 제조업,경기도 이천시 신둔면 마소로57번길 25,엔에이치투자증권주식회사,심사승인,제조업1
"구조용 금속제품, 탱크 및 증기발생기 제조업",경기도 이천시 부발읍 황무로2065번길 72-75,KB증권㈜,심사승인,제조업1
"그외 기타 전문, 과학 및 기술 서비스업",경기도 이천시 부발읍 경충대로 2091 큐알티 주식회사,미래에셋증권 주식회사,심사승인,"전문, 과학 및 기술 서비스업"
"그외 기타 전문, 과학 및 기술 서비스업",경기도 이천시 부발읍 경충대로 2091,미래에셋증권 주식회사,심사철회,"전문, 과학 및 기술 서비스업"
기타 전기장비 제조업,경기도 이천시 마장면 중부대로2670번길 94,신한투자증권 주식회사,심사철회,제조업2
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",경기도 이천시 마장면 오천로13번길 197,DB금융투자주식회사,심사승인,제조업4
특수 목적용 기계 제조업,경기도 이천시 마장면 서이천로 58-47,대신증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,경기도 이천시 마장면 서이천로 58-47,키움증권㈜,심사미승인,제조업4
전자부품 제조업,"경기도 의왕시 오전공업길 13, 6층 (오전동, 벽산선영테크노피아)",미래에셋증권㈜,심사승인,제조업2
"가죽, 가방 및 유사제품 제조업",경기도 의왕시 경수대로 279,"미래에셋증권 주식회사,삼성증권㈜,한국투자증권㈜",심사승인,제조업2
특수 목적용 기계 제조업,경기도 용인시 처인구 이동읍 백옥대로 250,미래에셋증권 주식회사,심사승인,제조업4
반도체 제조업,경기도 용인시 처인구 이동읍 덕성산단2로50번길 43,한국투자증권㈜,심사승인,제조업1
"도축, 육류 가공 및 저장 처리업",경기도 용인시 처인구 이동면 백옥대로144번길 36-2,유진투자증권㈜,심사승인,제조업2
기타 과학기술 서비스업,경기도 용인시 처인구 유림로154번길 42,키움증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
의료용 기기 제조업,경기도 용인시 처인구 양지면 중부대로1960번길 53,미래에셋증권 주식회사,심사승인,제조업3
반도체 제조업,경기도 용인시 처인구 백암면 가창리 351-25,키움증권㈜,심사승인,제조업1
자연과학 및 공학 연구개발업,"경기도 용인시 처인구 백령로20번길 28 나동 2, 3, 4층(유방동)",키움증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",경기도 용인시 처인구 모현면 초부로54번길 7-3,신영증권㈜,심사승인,제조업4
전자부품 제조업,경기도 용인시 처인구 남사면 형제로 35,신한투자증권 주식회사,심사중,제조업2
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",경기도 용인시 처인구 남사면 천덕산로482번길 1,"DB금융투자주식회사,엔에이치투자증권주식회사",심사승인,제조업4
특수 목적용 기계 제조업,경기도 용인시 처인구 남사면 전나무골길2번길 56-7,하나증권주식회사,심사승인,제조업4
의료용품 및 기타 의약 관련제품 제조업,경기도 용인시 처인구 남사면 원암로 63,한국투자증권㈜,심사승인,제조업3
의료용 기기 제조업,경기도 용인시 수지구 신수로 767,대신증권㈜,심사승인,제조업3
의료용 기기 제조업,"경기도 용인시 수지구 광교중앙로 338, 비동 10층","한국투자증권㈜,삼성증권㈜",심사승인,제조업3
그외 기타 제품 제조업,"경기도 용인시 기흥구 흥덕중앙로 120, 511호, 1101호,1111호,1112호,1113호(영덕동, 유타워)",하나증권주식회사,심사승인,제조업2
자연과학 및 공학 연구개발업,경기도 용인시 기흥구 흥덕중앙로 120,DB금융투자주식회사,심사승인,"전문, 과학 및 기술 서비스업"
자연과학 및 공학 연구개발업,"경기도 용인시 기흥구 흥덕1로 13 타워동 에이504호(영덕동, 흥덕아이티밸리)","미래에셋증권 주식회사,삼성증권㈜",심사승인,"전문, 과학 및 기술 서비스업"
특수 목적용 기계 제조업,경기도 용인시 기흥구 흥덕1로 13,키움증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,경기도 용인시 기흥구 탑실로58번길 14,한국투자증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,경기도 용인시 기흥구 탑실로 35번길 57,미래에셋증권 주식회사,심사승인,제조업4
의료용품 및 기타 의약 관련제품 제조업,경기도 용인시 기흥구 이현로30번길 107,한국투자증권㈜,심사승인,제조업3
"그외 기타 전문, 과학 및 기술 서비스업",경기도 용인시 기흥구 이현로30번길 107,"하나증권주식회사,케이프투자증권주식회사",심사승인,"전문, 과학 및 기술 서비스업"
반도체 제조업,경기도 용인시 기흥구 원고매로2번길 49(고매동),엔에이치투자증권주식회사,심사승인,제조업1
무기 및 총포탄 제조업,경기도 용인시 기흥구 마북로 207 엘아이지넥스원(주),엔에이치투자증권주식회사,심사승인,제조업2
기초 의약물질 및 생물학적 제제 제조업,경기도 용인시 기흥구 동백중앙로16번길 16-4,"미래에셋증권 주식회사,키움증권㈜",심사승인,제조업3
기초 화학물질 제조업,"경기도 용인시 기흥구 동백중앙로16번길 16-25, 804호(중동, 대우프론티어밸리 1단지)",한국투자증권㈜,심사승인,제조업3
의료용 기기 제조업,경기도 용인시 기흥구 동백중앙로16번길 16-25 201호,엔에이치투자증권주식회사,심사승인,제조업3
특수 목적용 기계 제조업,경기도 오산시 지곶중앙로 1-19,미래에셋증권 주식회사,심사승인,제조업4
일차전지 및 축전지 제조업,경기도 오산시 양산로 48,삼성증권㈜,심사승인,제조업1
"섬유, 의복, 신발 및 가죽제품 소매업",경기도 양주시 평화로 1525,미래에셋증권 주식회사,심사승인,도매 및 소매업
전자부품 제조업,경기도 양주군 광적면 석우리 624-8,키움증권㈜,심사승인,제조업2
자동차 부품 및 내장품 판매업,경기도 안양시 만안구 전파로24번길 63,미래에셋증권 주식회사,심사승인,도매 및 소매업
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",경기도 안양시 만안구 전파로24번길 35-11(안양동),미래에셋증권 주식회사,심사승인,제조업4
전자부품 제조업,경기도 안양시 만안구 전파로 48,대신증권㈜,심사승인,제조업2
전자부품 제조업,경기도 안양시 만안구 만안로 359,한국투자증권㈜,심사승인,제조업2
자연과학 및 공학 연구개발업,"경기도 안양시 동안구 흥안대로427번길 38, 1408호(관양동, 성지스타위드)",한국투자증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
의약품 제조업,"경기도 안양시 동안구 학의로 268 502호(관양동, 안양메가밸리)",한국투자증권㈜,심사승인,제조업3
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",경기도 안양시 동안구 전파로104번길 62,케이비투자증권㈜,심사승인,제조업4
운송장비 임대업,"경기도 안양시 동안구 전파로 88, 8층","한국투자증권㈜,엔에이치투자증권주식회사",심사승인,"사업시설 관리, 사업 지원 및 임대 서비스업"
기타 화학제품 제조업,경기도 안양시 동안구 엘에스로91번길 46-38,KB증권㈜,심사승인,제조업3
의료용품 및 기타 의약 관련제품 제조업,경기도 안양시 동안구 안양천동로 132,엔에이치투자증권주식회사,심사승인,제조업3
의료용품 및 기타 의약 관련제품 제조업,경기도 안양시 동안구 안양천동로 132,엔에이치투자증권주식회사,심사미승인,제조업3
소프트웨어 개발 및 공급업,"경기도 안양시 동안구 시민대로327번길 24(관양동,아리온테크놀로지) 2~5층",한국투자증권㈜,심사승인,정보통신업
사진장비 및 광학기기 제조업,경기도 안양시 동안구 시민대로327번길 12-18,한국투자증권㈜,심사승인,제조업2
1차 비철금속 제조업,경기도 안양시 동안구 시민대로248번길 25,엔에이치투자증권주식회사,심사승인,제조업1
소프트웨어 개발 및 공급업,"경기도 안양시 동안구 시민대로 401, 319호(관양동, 대륭테크노타운15차)",하나증권주식회사,심사승인,정보통신업
소프트웨어 개발 및 공급업,경기도 안양시 동안구 시민대로 401,엔에이치투자증권주식회사,심사승인,정보통신업
소프트웨어 개발 및 공급업,"경기도 안양시 동안구 시민대로 361, 803호(관양동, 에이스평촌타워)",하나증권주식회사,심사승인,정보통신업
통신 및 방송 장비 제조업,경기도 안양시 동안구 부림로 146,DB금융투자주식회사,심사승인,제조업2
의약품 제조업,경기도 안양시 동안구 벌말로 42,미래에셋증권 주식회사,심사철회,제조업3
특수 목적용 기계 제조업,경기도 안양시 동안구 동편로13번길 65 넥스트아이빌딩 5층,유진투자증권㈜,심사승인,제조업4
"그외 기타 전문, 과학 및 기술 서비스업",경기도 안성시 일죽면 서동대로 7280-26,미래에셋증권 주식회사,심사승인,"전문, 과학 및 기술 서비스업"
기타 전기장비 제조업,경기도 안성시 원곡면 승량길 52,한국투자증권㈜,심사승인,제조업2
특수 목적용 기계 제조업,경기도 안성시 원곡면 승량길 162,신한투자증권 주식회사,심사승인,제조업4
특수 목적용 기계 제조업,경기도 안성시 원곡면 기업단지로 159,대신증권㈜,심사승인,제조업4
기타 화학제품 제조업,경기도 안성시 양성면 동항공단길 49,대신증권㈜,심사승인,제조업3
1차 철강 제조업,경기도 안성시 미양면 안성맞춤대로 474-40,엔에이치투자증권주식회사,심사승인,제조업1
특수 목적용 기계 제조업,경기도 안성시 모산로 8,엔에이치투자증권주식회사,심사승인,제조업4
특수 목적용 기계 제조업,경기도 안성시 대덕면 모산로 401-14,삼성증권㈜,심사승인,제조업4
전자부품 제조업,경기도 안성시 금석3길 30,엔에이치투자증권주식회사,심사승인,제조업2
"구조용 금속제품, 탱크 및 증기발생기 제조업",경기도 안성시 공도읍 문터길 72-23 윤성에프앤씨,미래에셋증권 주식회사,심사철회,제조업1
"구조용 금속제품, 탱크 및 증기발생기 제조업",경기도 안성시 공도읍 문터길 72-23,미래에셋증권 주식회사,심사승인,제조업1
반도체 제조업,경기도 안성시 공단로 100,KB증권㈜,심사철회,제조업1
기타 섬유제품 제조업,경기도 안산시 단원구 해안로 417,대신증권㈜,심사철회,제조업1
자동차 신품 부품 제조업,경기도 안산시 단원구 해안로 354(초지동),교보증권㈜,심사승인,제조업4
"펄프, 종이 및 판지 제조업",경기도 안산시 단원구 해안로 104,"신한투자증권 주식회사,하나증권주식회사",심사승인,제조업1
자동차용 엔진 및 자동차 제조업,경기도 안산시 단원구 해봉로255번길 16,"대신증권㈜,IBK투자증권㈜",심사승인,제조업4
기타 전기장비 제조업,경기도 안산시 단원구 신원로133번길 15,미래에셋증권㈜,심사승인,제조업2
전자부품 제조업,경기도 안산시 단원구 신원로 305,DB금융투자주식회사,심사승인,제조업2
기타 화학제품 제조업,경기도 안산시 단원구 시화벤처로 705,한화투자증권㈜,심사철회,제조업3
전자부품 제조업,경기도 안산시 단원구 시화벤처로 515,유안타증권㈜,심사승인,제조업2
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",경기도 안산시 단원구 시화벤처로 481,미래에셋증권 주식회사,심사중,제조업4
기타 금속 가공제품 제조업,경기도 안산시 단원구 성곡동 615번지,미래에셋증권㈜,심사승인,제조업1
전자부품 제조업,경기도 안산시 단원구 산단로35번길 24,대신증권㈜,심사승인,제조업2
반도체 제조업,경기도 안산시 단원구 산단로163번길 65-16 (원시동),KB증권㈜,심사승인,제조업1
자동차 신품 부품 제조업,경기도 안산시 단원구 산단로 31,미래에셋증권 주식회사,심사철회,제조업4
전자부품 제조업,경기도 안산시 단원구 별망로677번길 19-15,하나증권주식회사,심사승인,제조업2
전자부품 제조업,경기도 안산시 단원구 별망로519번길 27,키움증권㈜,심사승인,제조업2
기초 화학물질 제조업,경기도 안산시 단원구 별망로459번길 24,한국투자증권㈜,심사승인,제조업3
플라스틱제품 제조업,경기도 안산시 단원구 별망로 345,키움증권㈜,심사승인,제조업1
의약품 제조업,경기도 안산시 단원구 범지기로141번길 90,케이비투자증권㈜,심사승인,제조업3
기타 비금속 광물제품 제조업,경기도 안산시 단원구 번영2로 58,IBK투자증권㈜,심사승인,제조업1
전자부품 제조업,"경기도 안산시 단원구 강촌로 213, 215(목내동)",한국투자증권㈜,심사승인,제조업2
기타 화학제품 제조업,경기도 안산시 단원구 강촌로 203,"신한투자증권 주식회사,케이비투자증권㈜",심사승인,제조업3
의약품 제조업,"경기도 시흥시 협력로 231(정왕동, 시화공단 1나 802호)","한국투자증권㈜,유진투자증권㈜",심사승인,제조업3
기타 화학제품 제조업,경기도 시흥시 협력로 165,"KB증권㈜,엔에이치투자증권주식회사",심사승인,제조업3
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",경기도 시흥시 옥구천동로44번길 4,KB증권㈜,심사승인,제조업4
기초 의약물질 및 생물학적 제제 제조업,"경기도 시흥시 산기대학로 237, 540호(정왕동, 한국산업기술대학교 스마트허브 산학융합본부)",키움증권㈜,심사승인,제조업3
의료용 기기 제조업,"경기도 시흥시 산기대학로 237, 540호 (정왕동, 한국산업기술대학교 스마트허브 산학융합본부)",키움증권㈜,심사미승인,제조업3
특수 목적용 기계 제조업,경기도 시흥시 마유로238번길 21,한국투자증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,경기도 시흥시 군자천로 15,신한투자증권 주식회사,심사승인,제조업4
의료용 기기 제조업,경기도 수원시 장안구 장안로458번길 120,미래에셋증권 주식회사,심사승인,제조업3
전자부품 제조업,"경기도 수원시 영통구 청명남로 3, 케이티빌딩 3층",IBK투자증권㈜,심사철회,제조업2
"그외 기타 전문, 과학 및 기술 서비스업","경기도 수원시 영통구 창룡대로 260, 광교센트럴비즈타워7층 (이의동)",하나증권주식회사,심사승인,"전문, 과학 및 기술 서비스업"
"그외 기타 전문, 과학 및 기술 서비스업",경기도 수원시 영통구 창룡대로 260 광교센트럴비즈타워 7층,하나증권주식회사,심사철회,"전문, 과학 및 기술 서비스업"
의약품 제조업,"경기도 수원시 영통구 신원로 306, 2동 4층(원천동 영통이노플렉스)",한국투자증권㈜,심사승인,제조업3
특수 목적용 기계 제조업,경기도 수원시 영통구 신원로 306,유안타증권㈜,심사승인,제조업4
기초 의약물질 및 생물학적 제제 제조업,"경기도 수원시 영통구 신원로 304, 3동 906호(원천동, 이노플렉스)",한국투자증권㈜,심사철회,제조업3
특수 목적용 기계 제조업,경기도 수원시 영통구 신원로 176,키움증권㈜,심사승인,제조업4
의료용 기기 제조업,"경기도 수원시 영통구 덕영대로1556번길 16 씨동 4층, 5층","한국투자증권㈜,엔에이치투자증권주식회사",심사승인,제조업3
반도체 제조업,경기도 수원시 영통구 대학로60 리치프라자3차 309호,삼성증권㈜,심사승인,제조업1
자연과학 및 공학 연구개발업,경기도 수원시 영통구 대학4로 17 에이스광교타워1 1014호,엔에이치투자증권주식회사,심사승인,"전문, 과학 및 기술 서비스업"
자연과학 및 공학 연구개발업,"경기도 수원시 영통구 광교로 156, 803호. 804호. 805호. 806호. 807호. 808호. 813호","엔에이치투자증권주식회사,KB증권㈜",심사철회,"전문, 과학 및 기술 서비스업"
의료용품 및 기타 의약 관련제품 제조업,"경기도 수원시 영통구 광교로 145, 11층(이의동, 차세대융합기술연구원 에이동)",키움증권㈜,심사승인,제조업3
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외","경기도 수원시 영통구 광교로 109, 4층(이의동, 나노소자특화팹센터)",케이비투자증권㈜,심사승인,제조업4
전자부품 제조업,"경기도 수원시 영통구 광교로 105(이의동, 경기알앤디비센터6층)",한국투자증권㈜,심사승인,제조업2
특수 목적용 기계 제조업,경기도 수원시 권선구 서부로 1433-100,케이비투자증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,경기도 수원시 권선구 산업로92번길 45,미래에셋증권 주식회사,심사승인,제조업4
특수 목적용 기계 제조업,경기도 수원시 권선구 산업로156번길 88-4,KB증권㈜,심사승인,제조업4
특수 목적용 기계 제조업,경기도 수원시 권선구 산업로156번길 79,"한국투자증권㈜,미래에셋증권 주식회사,KB증권㈜,엔에이치투자증권주식회사,CS증권 서울지점",심사승인,제조업4
사진장비 및 광학기기 제조업,경기도 수원시 권선구 산업로156번길 17,삼성증권㈜,심사철회,제조업2
특수 목적용 기계 제조업,경기도 수원시 권선구 산업로156번길 17,신한투자증권 주식회사,심사승인,제조업4
반도체 제조업,경기도 수원시 권선구 산업로155번길 293(고색동),대신증권㈜,심사승인,제조업1
컴퓨터 및 주변장치 제조업,경기도 수원시 권선구 산업로155번길 228-92,하나증권주식회사,심사철회,제조업2
전자부품 제조업,경기도 수원시 권선구 산업로155번길 128,키움증권㈜,심사승인,제조업2
반도체 제조업,경기도 수원시 권선구 산업로 174-29,유안타증권㈜,심사철회,제조업1
특수 목적용 기계 제조업,경기도 수원시 권선구 산업로 174-29,엔에이치투자증권주식회사,심사승인,제조업4
"구조용 금속제품, 탱크 및 증기발생기 제조업",경기도 수원시 권선구 경수대로 261 리치타워 7층,미래에셋증권㈜,심사승인,제조업1
"측정, 시험, 항해, 제어 및 기타 정밀기기 제조업; 광학기기 제외",경기도 성남시 중원구 사기막골로 58,"유안타증권㈜,신한투자증권 주식회사",심사승인,제조업4
자연과학 및 공학 연구개발업,경기도 성남시 중원구 사기막골로 148 중앙이노테크지식산업센터 909호,"엔에이치투자증권주식회사,삼성증권㈜",심사철회,"전문, 과학 및 기술 서비스업"
의약품 제조업,"경기도 성남시 중원구 둔촌대로388번길 24, 101호, 601호, 612호",한국투자증권㈜,심사승인,제조업3
의료용 기기 제조업,"경기도 성남시 중원구 둔촌대로 560, 512호(상대원동, 벽산테크노피아)",한국투자증권㈜,심사승인,제조업3
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","경기도 성남시 중원구 둔촌대로 546, 유투오코리아빌딩 3층",한국투자증권㈜,심사승인,제조업4
전자부품 제조업,경기도 성남시 중원구 둔촌대로 446,미래에셋증권 주식회사,심사승인,제조업2
의료용품 및 기타 의약 관련제품 제조업,경기도 성남시 중원구 갈마치로 302 비동 8층,엔에이치투자증권주식회사,심사철회,제조업3
상품 종합 도매업,경기도 성남시 중원구 갈마치로 218,"엔에이치투자증권주식회사,한국투자증권㈜",심사승인,도매 및 소매업
자연과학 및 공학 연구개발업,"경기도 성남시 수정구 창업로 54, 608~611호",삼성증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
의료용 기기 제조업,"경기도 성남시 수정구 창업로 54 가동 3층, 4층",KB증권㈜,심사승인,제조업3
소프트웨어 개발 및 공급업,"경기도 성남시 수정구 창업로 42 (시흥동, 판교제2테크노밸리경기기업성장센터) 제222, 223호",하나증권주식회사,심사승인,정보통신업
소프트웨어 개발 및 공급업,"경기도 성남시 수정구 금토로80번길 11, 14층 1401호",대신증권㈜,심사승인,정보통신업
광고업,경기도 성남시 분당구 황새울로359번길 11,KB증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
기타 생활용품 소매업,"경기도 성남시 분당구 황새울로 358, 6층 (서현동)","한화투자증권㈜,대신증권㈜",심사승인,도매 및 소매업
전자부품 제조업,경기도 성남시 분당구 황새울로 314,엔에이치투자증권주식회사,심사승인,제조업2
의약품 제조업,"경기도 성남시 분당구 황새울로 246, 비동 7층(수내동, 도담빌딩)",하나증권주식회사,심사승인,제조업3
소프트웨어 개발 및 공급업,"경기도 성남시 분당구 황새울로 246, 5층, 6층",KB증권㈜,심사철회,정보통신업
통신 및 방송 장비 제조업,경기도 성남시 분당구 황새울로 216,삼성증권㈜,심사승인,제조업2
반도체 제조업,"경기도 성남시 분당구 판교역로241번길 20, 6층","대신증권㈜,삼성증권㈜",심사철회,제조업1
기타 금융업,경기도 성남시 분당구 판교역로241번길 20,KB증권㈜,심사승인,금융 및 보험업
기타 정보 서비스업,경기도 성남시 분당구 판교역로146번길 20,"KB증권㈜,엔에이치투자증권주식회사,SK증권㈜",심사승인,정보통신업
은행 및 저축기관,"경기도 성남시 분당구 판교역로 231, 에스동 에이치스퀘어","KB증권㈜,CS증권 서울지점",심사승인,금융 및 보험업
상품 종합 도매업,"경기도 성남시 분당구 판교역로 231, 에스동 907호","미래에셋증권 주식회사,삼성증권㈜",심사승인,도매 및 소매업
반도체 제조업,"경기도 성남시 분당구 판교역로 230, 비동 10층",대신증권㈜,심사승인,제조업1
소프트웨어 개발 및 공급업,경기도 성남시 분당구 판교역로 225-20,삼성증권㈜,심사중,정보통신업
자연과학 및 공학 연구개발업,경기도 성남시 분당구 판교역로 221,"엔에이치투자증권주식회사,씨티그룹글로벌마켓증권㈜",심사승인,"전문, 과학 및 기술 서비스업"
특수 목적용 기계 제조업,"경기도 성남시 분당구 판교로255번길 28, 7층(삼평동, 디에이치케이솔루션빌딩)",IBK투자증권㈜,심사철회,제조업4
자연과학 및 공학 연구개발업,"경기도 성남시 분당구 판교로255번길 24, 4층(삼평동, 아이앤씨빌딩)",한국투자증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
자연과학 및 공학 연구개발업,경기도 성남시 분당구 판교로255번길 24 4층,엔에이치투자증권주식회사,심사미승인,"전문, 과학 및 기술 서비스업"
자연과학 및 공학 연구개발업,경기도 성남시 분당구 판교로228번길 15 3동 3층,KB증권㈜,심사철회,"전문, 과학 및 기술 서비스업"
소프트웨어 개발 및 공급업,경기도 성남시 분당구 판교로228번길 15,유안타증권㈜,심사중,정보통신업
의료용 기기 제조업,경기도 성남시 분당구 판교로228번길 15,하나증권주식회사,심사승인,제조업3
무점포 소매업,경기도 성남시 분당구 판교로228번길 15,"한국투자증권㈜,하나증권주식회사,미래에셋증권㈜",심사승인,도매 및 소매업
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",경기도 성남시 분당구 판교로 338(삼평동),미래에셋증권 주식회사,심사철회,정보통신업
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",경기도 성남시 분당구 판교로 338(삼평동),미래에셋증권 주식회사,심사승인,정보통신업
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",경기도 성남시 분당구 판교로 338 3층,엔에이치투자증권주식회사,심사승인,정보통신업
부동산 임대 및 공급업,경기도 성남시 분당구 판교로 332,"신한투자증권 주식회사,대신증권㈜",심사승인,부동산업
전자부품 제조업,"경기도 성남시 분당구 판교로 323(삼평동, 벤처포럼빌딩7층)",키움증권㈜,심사승인,제조업2
