업종,주소,주선인,성공여부,대분류
"건축기술, 엔지니어링 및 관련 기술 서비스업","서울특별시 송파구 양재대로66길 39, 5층, 6층(가락동, 정화빌딩)",IBK투자증권㈜,심사철회,"전문, 과학 및 기술 서비스업"
자연과학 및 공학 연구개발업,서울특별시 송파구 송파대로 167,"하나증권주식회사,엔에이치투자증권주식회사,삼성증권㈜",심사승인,"전문, 과학 및 기술 서비스업"
작물 재배업,서울특별시 송파구 송파대로 167,대신증권㈜,심사승인,"농업, 임업 및 어업"
소프트웨어 개발 및 공급업,서울특별시 송파구 석촌호수로 258 잠실아르누보팰리스 2층,미래에셋증권 주식회사,심사철회,정보통신업
소프트웨어 개발 및 공급업,"서울특별시 송파구 법원로9길 26, 디동 제6층(문정동, 에이치비지니스파크)",KB증권㈜,심사승인,정보통신업
소프트웨어 개발 및 공급업,서울특별시 송파구 법원로6길 7 유탑테크밸리 12층,엔에이치투자증권주식회사,심사승인,정보통신업
자연과학 및 공학 연구개발업,"서울특별시 송파구 법원로11길 25, 에이동 6층 (문정동, 에이치비지니스파크)",엔에이치투자증권주식회사,심사철회,"전문, 과학 및 기술 서비스업"
소프트웨어 개발 및 공급업,"서울특별시 송파구 법원로 128, 씨동 1610호-1621호",하나증권주식회사,심사철회,정보통신업
자연과학 및 공학 연구개발업,서울특별시 송파구 법원로 128,키움증권㈜,심사승인,"전문, 과학 및 기술 서비스업"
통신 및 방송 장비 제조업,서울특별시 송파구 법원로 127 문정대명벨리온 12층,미래에셋증권㈜,심사승인,제조업2
생활용품 도매업,"서울특별시 송파구 백제고분로 101 8, 9, 10층(잠실동, 서일빌딩)",한국투자증권㈜,심사승인,도매 및 소매업
의약품 제조업,서울특별시 성동구 연무장3길 21 2층,엔에이치투자증권주식회사,심사승인,제조업3
의료용 기기 제조업,서울특별시 성동구 아차산로5길 24-4,대신증권㈜,심사승인,제조업3
소프트웨어 개발 및 공급업,"서울특별시 성동구 아차산로17길 49, 601-612호",KB증권㈜,심사철회,정보통신업
소프트웨어 개발 및 공급업,서울특별시 성동구 아차산로17길 49 601-612호,KB증권㈜,심사승인,정보통신업
소프트웨어 개발 및 공급업,"서울특별시 성동구 아차산로15길 52, 2층 202, 203호",엔에이치투자증권주식회사,심사철회,정보통신업
